id,nombre,edad,genero,ciudad,comentario,categoria_del_problema,nivel_de_urgencia,acceso_a_internet,atencion_previa_del_gobierno,zona_rural,año_del_reporte,mes_del_reporte
1383,Sofía,57,F,Cartagena,faltan médicos en el centro de salud.,Seguridad,No urgente,1,0,0,2023,2
1384,Jorge,73,Otro,Santa Marta,hay problemas con la recolección de basura.,Educación,Urgente,1,1,0,2023,1
1385,Sofía,38,Otro,Medellín,las basuras no se recogen a tiempo.,Salud,No urgente,1,0,0,2024,3
1386,Carlos,80,Otro,Cartagena,queremos más presencia policial.,Seguridad,No urgente,0,1,0,2023,4
1387,Laura,71,F,Cali,necesitamos más acceso a internet en la zona.,Educación,Urgente,1,1,0,2024,10
1388,Pedro,74,M,Barranquilla,queremos más presencia policial.,Educación,No urgente,1,1,1,2023,5
1389,Carlos,35,Otro,Bogotá,la contaminación del río está aumentando.,Educación,No urgente,0,1,0,2024,2
1390,Carlos,57,F,Pereira,necesitamos más acceso a internet en la zona.,Educación,No urgente,1,0,1,2023,11
1391,Ana,40,F,Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,1,0,1,2024,10
1392,Valentina,48,Otro,Cartagena,la contaminación del río está aumentando.,Salud,Urgente,1,1,0,2023,4
1393,Juan,76,M,Bogotá,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,0,0,0,2023,8
1394,Juan,27,M,Barranquilla,queremos más presencia policial.,Seguridad,Urgente,1,1,0,2024,5
1395,Sofía,29,Otro,Pereira,la contaminación del río está aumentando.,Salud,Urgente,0,0,1,2023,3
1396,Sofía,40,F,Cali,Sin Comentario,Seguridad,Urgente,1,1,0,2023,9
1397,Laura,65,Otro,Santa Marta,queremos más presencia policial.,Medio Ambiente,Urgente,1,0,0,2024,4
1398,Juan,66,Otro,Barranquilla,necesitamos más acceso a internet en la zona.,Educación,No urgente,1,1,1,2024,12
1399,Laura,47,M,Cartagena,faltan médicos en el centro de salud.,Educación,Urgente,1,0,0,2023,12
1400,María,21,Otro,Cali,las basuras no se recogen a tiempo.,Salud,No urgente,0,0,1,2023,8
1401,Carlos,79,M,Pereira,Sin Comentario,Educación,No urgente,0,0,1,2024,2
1402,Sofía,80,M,Medellín,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,0,1,0,2024,1
1403,María,72,Otro,Medellín,queremos más presencia policial.,Seguridad,No urgente,1,1,1,2024,8
1404,Carlos,61,F,Santa Marta,faltan médicos en el centro de salud.,Salud,No urgente,0,0,1,2023,3
1405,Camilo,30,Otro,Cúcuta,Sin Comentario,Medio Ambiente,Urgente,1,1,0,2024,3
1406,Valentina,48,M,Bogotá,falta agua potable en varias casas.,Seguridad,No urgente,1,0,0,2024,11
1407,Carlos,42,M,Cali,hay problemas con la recolección de basura.,Educación,Urgente,1,1,0,2024,2
1408,Camilo,34,F,Pereira,faltan médicos en el centro de salud.,Salud,No urgente,0,0,0,2024,1
1409,Jorge,80,F,Santa Marta,las basuras no se recogen a tiempo.,Seguridad,Urgente,0,0,0,2024,7
1410,Carlos,22,Otro,Barranquilla,las basuras no se recogen a tiempo.,Salud,Urgente,1,0,1,2024,10
1411,Valentina,71,Otro,Manizales,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,1,0,0,2023,10
1412,Juan,38,F,Bogotá,las calles están muy oscuras y peligrosas.,Educación,No urgente,0,0,1,2023,7
1413,Jorge,43,Otro,Cartagena,la contaminación del río está aumentando.,Educación,Urgente,1,1,1,2023,12
1414,Juan,76,F,Cartagena,queremos más presencia policial.,Seguridad,No urgente,0,1,0,2023,3
1415,Juan,70,Otro,Bogotá,falta agua potable en varias casas.,Medio Ambiente,Urgente,0,1,1,2023,7
1416,Pedro,65,F,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,0,0,1,2023,11
1417,María,31,F,Santa Marta,faltan médicos en el centro de salud.,Educación,Urgente,1,1,1,2023,7
1418,Jorge,48,F,Cali,hay problemas con la recolección de basura.,Salud,No urgente,1,1,1,2024,3
1419,Ana,32,F,Bogotá,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,1,1,1,2024,9
1420,Juan,62,M,Bogotá,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,0,1,0,2023,1
1421,Pedro,38,F,Medellín,queremos más presencia policial.,Medio Ambiente,No urgente,0,1,1,2023,4
1422,Laura,77,M,Cali,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,1,0,1,2023,11
1423,Valentina,28,Otro,Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,Urgente,1,1,1,2023,10
1424,Juan,78,M,Cali,necesitamos más acceso a internet en la zona.,Educación,No urgente,0,1,1,2023,2
1425,Camilo,35,Otro,Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,Urgente,1,0,1,2023,11
1426,Jorge,33,M,Barranquilla,falta agua potable en varias casas.,Educación,No urgente,0,1,0,2023,4
1427,Carlos,41,M,Cali,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,0,0,0,2023,8
1428,Jorge,73,M,Cali,faltan médicos en el centro de salud.,Salud,Urgente,1,1,0,2023,8
1429,Juan,48,M,Bogotá,falta agua potable en varias casas.,Seguridad,No urgente,1,0,0,2024,5
1430,María,71,F,Santa Marta,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,1,0,1,2024,2
1431,Juan,27,Otro,Bogotá,queremos más presencia policial.,Educación,No urgente,1,1,0,2023,4
1432,Carlos,48,Otro,Santa Marta,faltan médicos en el centro de salud.,Salud,Urgente,1,0,1,2023,10
1433,Juan,22,Otro,Bucaramanga,no hay suficientes escuelas públicas.,Educación,No urgente,0,0,0,2023,7
1434,Jorge,56,M,Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,0,1,1,2023,12
1435,Sofía,38,M,Barranquilla,hay problemas con la recolección de basura.,Seguridad,Urgente,0,1,1,2024,11
1436,Juan,61,F,Manizales,no tenemos centros culturales ni bibliotecas.,Salud,No urgente,1,1,0,2023,6
1437,Carlos,48,F,Santa Marta,las calles están muy oscuras y peligrosas.,Educación,Urgente,0,1,1,2023,1
1438,Juan,69,F,Manizales,necesitamos más acceso a internet en la zona.,Educación,No urgente,1,0,1,2023,4
1439,Juan,35,F,Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,0,1,0,2024,8
1440,Camilo,26,M,Bucaramanga,falta agua potable en varias casas.,Educación,Urgente,0,0,1,2023,5
1441,Laura,68,F,Barranquilla,no tenemos centros culturales ni bibliotecas.,Salud,No urgente,1,1,0,2023,7
1442,Carlos,27,Otro,Bucaramanga,la contaminación del río está aumentando.,Salud,No urgente,0,0,1,2023,7
1443,Pedro,15,F,Barranquilla,necesitamos más acceso a internet en la zona.,Educación,Urgente,0,1,1,2023,6
1444,Camilo,45,F,Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,1,1,1,2024,4
1445,María,19,M,Cúcuta,faltan médicos en el centro de salud.,Educación,Urgente,0,0,0,2023,9
1446,Jorge,73,F,Cúcuta,las basuras no se recogen a tiempo.,Seguridad,Urgente,0,0,1,2024,2
1447,Ana,72,M,Bogotá,queremos más presencia policial.,Salud,Urgente,0,0,1,2023,6
1448,Carlos,15,Otro,Medellín,necesitamos más acceso a internet en la zona.,Salud,Urgente,0,0,0,2023,7
1449,Laura,48,M,Cúcuta,las basuras no se recogen a tiempo.,Seguridad,No urgente,0,0,1,2023,8
1450,Carlos,61,Otro,Bucaramanga,las basuras no se recogen a tiempo.,Salud,No urgente,1,1,1,2024,8
1451,Carlos,77,M,Pereira,las calles están muy oscuras y peligrosas.,Educación,No urgente,0,1,1,2024,6
1452,Carlos,40,M,Cali,faltan médicos en el centro de salud.,Educación,Urgente,1,0,1,2023,2
1453,Juan,55,Otro,Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,0,0,1,2023,8
1454,Carlos,34,Otro,Barranquilla,las basuras no se recogen a tiempo.,Salud,No urgente,0,0,0,2023,9
1455,Camilo,16,F,Bucaramanga,faltan médicos en el centro de salud.,Educación,No urgente,1,0,1,2024,7
1456,Camilo,19,Otro,Barranquilla,queremos más presencia policial.,Seguridad,No urgente,0,1,0,2023,9
1457,Camilo,45,M,Bucaramanga,falta agua potable en varias casas.,Medio Ambiente,Urgente,0,1,0,2023,1
1458,Pedro,15,F,Bucaramanga,no hay suficientes escuelas públicas.,Seguridad,No urgente,0,0,0,2024,8
1459,Juan,35,M,Cúcuta,las calles están muy oscuras y peligrosas.,Educación,No urgente,0,1,1,2023,10
1460,Juan,63,Otro,Bogotá,la contaminación del río está aumentando.,Medio Ambiente,Urgente,0,0,1,2023,3
1461,Valentina,57,M,Bucaramanga,las calles están muy oscuras y peligrosas.,Educación,Urgente,1,0,1,2024,9
1462,Valentina,36,Otro,Barranquilla,la contaminación del río está aumentando.,Educación,Urgente,1,1,0,2023,10
1463,Valentina,24,F,Cartagena,faltan médicos en el centro de salud.,Educación,Urgente,1,0,1,2024,4
1464,Ana,18,M,Manizales,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,1,0,1,2024,1
1465,Jorge,30,F,Pereira,las calles están muy oscuras y peligrosas.,Educación,Urgente,1,1,0,2023,4
1466,Laura,64,F,Medellín,la contaminación del río está aumentando.,Seguridad,Urgente,1,1,0,2024,6
1467,Camilo,36,F,Pereira,falta agua potable en varias casas.,Medio Ambiente,No urgente,0,1,0,2023,1
1468,María,24,F,Santa Marta,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,0,0,1,2023,2
1469,Sofía,65,F,Barranquilla,las basuras no se recogen a tiempo.,Educación,No urgente,1,0,0,2024,1
1470,Sofía,55,F,Santa Marta,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,0,1,0,2024,8
1471,María,63,M,Santa Marta,las basuras no se recogen a tiempo.,Educación,No urgente,1,0,0,2023,7
1472,Laura,40,M,Barranquilla,la contaminación del río está aumentando.,Seguridad,No urgente,0,0,1,2024,7
1473,Camilo,75,M,Manizales,Sin Comentario,Salud,Urgente,1,0,0,2023,3
1474,Ana,79,Otro,Bogotá,las basuras no se recogen a tiempo.,Seguridad,Urgente,1,1,1,2023,12
1475,Valentina,37,F,Cúcuta,faltan médicos en el centro de salud.,Salud,Urgente,0,1,1,2024,8
1476,Jorge,65,F,Pereira,faltan médicos en el centro de salud.,Seguridad,Urgente,0,1,0,2023,12
1477,Sofía,18,M,Pereira,faltan médicos en el centro de salud.,Educación,Urgente,1,1,0,2024,7
1478,Pedro,65,Otro,Cali,Sin Comentario,Seguridad,No urgente,0,0,1,2023,9
1479,Pedro,35,Otro,Cali,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,0,1,1,2024,5
1480,Laura,76,F,Barranquilla,necesitamos más acceso a internet en la zona.,Salud,Urgente,0,0,0,2023,11
1481,Ana,18,F,Bucaramanga,las calles están muy oscuras y peligrosas.,Salud,No urgente,0,1,1,2023,1
1482,Ana,20,Otro,Cali,queremos más presencia policial.,Seguridad,Urgente,1,0,0,2023,7
1483,Jorge,30,M,Manizales,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,1,1,0,2023,10
1484,Jorge,77,Otro,Barranquilla,hay problemas con la recolección de basura.,Salud,No urgente,1,0,1,2023,10
1485,Sofía,63,Otro,Bucaramanga,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,0,1,1,2023,8
1486,Jorge,57,F,Bogotá,no hay suficientes escuelas públicas.,Educación,Urgente,1,0,0,2024,2
1487,Ana,42,Otro,Bogotá,hay problemas con la recolección de basura.,Educación,No urgente,1,0,1,2023,4
1488,Jorge,49,F,Bogotá,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,0,0,1,2023,4
1489,Ana,39,F,Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,No urgente,0,0,0,2023,3
1490,Camilo,24,Otro,Medellín,falta agua potable en varias casas.,Educación,Urgente,0,0,1,2023,4
1491,Ana,53,Otro,Manizales,queremos más presencia policial.,Medio Ambiente,Urgente,1,0,0,2023,6
1492,Jorge,35,F,Cali,falta agua potable en varias casas.,Seguridad,Urgente,1,1,0,2024,7
1493,Pedro,45,F,Bucaramanga,las calles están muy oscuras y peligrosas.,Salud,No urgente,0,1,1,2023,10
1494,Sofía,41,F,Bogotá,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,0,0,1,2023,12
1495,Laura,45,Otro,Cartagena,las basuras no se recogen a tiempo.,Seguridad,Urgente,1,0,1,2024,9
1496,Jorge,26,Otro,Santa Marta,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,1,1,0,2024,8
1497,Camilo,69,Otro,Bogotá,hay problemas con la recolección de basura.,Seguridad,No urgente,0,0,1,2024,3
1498,Pedro,25,F,Cartagena,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,0,1,0,2024,3
1499,María,41,F,Medellín,no hay suficientes escuelas públicas.,Seguridad,No urgente,0,1,0,2024,11
1500,Juan,24,M,Bogotá,necesitamos más acceso a internet en la zona.,Educación,Urgente,1,1,0,2024,4
1501,Sofía,72,Otro,Manizales,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,1,1,0,2024,6
1502,María,44,F,Bucaramanga,queremos más presencia policial.,Seguridad,No urgente,1,0,1,2024,2
1503,Carlos,22,F,Cúcuta,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,1,0,1,2023,7
1504,Sofía,38,Otro,Bogotá,las basuras no se recogen a tiempo.,Educación,Urgente,0,1,0,2024,2
1505,Laura,52,Otro,Pereira,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,0,0,0,2023,10
1506,Valentina,50,M,Cartagena,queremos más presencia policial.,Salud,Urgente,0,1,0,2023,2
1507,Laura,38,F,Bogotá,no hay suficientes escuelas públicas.,Medio Ambiente,No urgente,1,0,1,2023,2
1508,Sofía,48,M,Bucaramanga,queremos más presencia policial.,Educación,Urgente,0,1,0,2024,4
1509,Pedro,37,F,Manizales,hay problemas con la recolección de basura.,Seguridad,No urgente,1,1,0,2024,9
1510,Valentina,47,F,Cali,hay problemas con la recolección de basura.,Seguridad,Urgente,0,0,0,2024,8
1511,Valentina,80,M,Pereira,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,1,0,0,2023,2
1512,Pedro,69,Otro,Bogotá,necesitamos más acceso a internet en la zona.,Salud,Urgente,0,1,1,2024,1
1513,Ana,61,Otro,Santa Marta,faltan médicos en el centro de salud.,Medio Ambiente,Urgente,1,1,0,2023,8
1514,Laura,18,Otro,Barranquilla,Sin Comentario,Educación,No urgente,1,1,1,2023,8
1515,Jorge,79,Otro,Santa Marta,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,1,1,0,2023,2
1516,Valentina,24,M,Barranquilla,las basuras no se recogen a tiempo.,Seguridad,No urgente,1,0,0,2023,10
1517,Camilo,54,M,Cartagena,no hay suficientes escuelas públicas.,Educación,No urgente,1,0,0,2023,11
1518,Juan,24,M,Medellín,hay problemas con la recolección de basura.,Salud,Urgente,0,0,0,2024,9
1519,Valentina,37,M,Manizales,falta agua potable en varias casas.,Salud,No urgente,0,1,0,2024,10
1520,Pedro,49,M,Medellín,necesitamos más acceso a internet en la zona.,Salud,Urgente,0,0,1,2024,10
1521,Camilo,21,F,Bogotá,queremos más presencia policial.,Medio Ambiente,No urgente,1,0,1,2024,5
1522,Laura,65,M,Bucaramanga,las basuras no se recogen a tiempo.,Salud,No urgente,0,1,1,2023,2
1523,Ana,55,Otro,Medellín,faltan médicos en el centro de salud.,Seguridad,No urgente,1,1,1,2023,4
1524,Sofía,20,Otro,Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,0,0,0,2023,5
1525,Juan,40,Otro,Cúcuta,queremos más presencia policial.,Educación,No urgente,1,1,0,2024,3
1526,Juan,68,M,Pereira,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,1,0,0,2023,5
1527,Juan,61,F,Cali,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,1,0,1,2024,5
1528,Valentina,39,F,Medellín,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,0,1,0,2023,12
1529,Carlos,77,F,Cúcuta,hay problemas con la recolección de basura.,Educación,No urgente,0,0,1,2024,6
1530,Jorge,35,M,Bogotá,falta agua potable en varias casas.,Educación,Urgente,0,0,0,2024,8
1531,María,62,M,Pereira,falta agua potable en varias casas.,Medio Ambiente,Urgente,0,1,1,2024,8
1532,María,70,M,Cúcuta,faltan médicos en el centro de salud.,Educación,Urgente,0,0,1,2024,1
1533,Sofía,76,F,Pereira,las basuras no se recogen a tiempo.,Educación,Urgente,0,1,0,2023,1
1534,Sofía,21,Otro,Pereira,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,1,0,1,2024,2
1535,Ana,74,F,Bucaramanga,queremos más presencia policial.,Educación,No urgente,0,1,0,2023,9
1536,Camilo,16,M,Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,Urgente,0,1,0,2024,5
1537,Camilo,48,F,Cartagena,las calles están muy oscuras y peligrosas.,Salud,Urgente,1,1,1,2023,10
1538,Carlos,37,Otro,Cartagena,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,1,1,0,2024,1
1539,María,55,Otro,Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,1,1,0,2024,7
1540,Valentina,66,Otro,Cúcuta,la contaminación del río está aumentando.,Seguridad,No urgente,0,1,0,2024,7
1541,Valentina,47,F,Cali,la contaminación del río está aumentando.,Seguridad,No urgente,1,0,1,2023,3
1542,Juan,74,Otro,Barranquilla,las calles están muy oscuras y peligrosas.,Educación,Urgente,0,0,0,2023,6
1543,Pedro,59,Otro,Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,Urgente,0,0,1,2023,11
1544,Ana,55,M,Bucaramanga,no hay suficientes escuelas públicas.,Seguridad,Urgente,1,0,1,2023,1
1545,Jorge,16,Otro,Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,1,1,0,2023,10
1546,Pedro,16,Otro,Pereira,las calles están muy oscuras y peligrosas.,Educación,Urgente,0,1,0,2024,4
1547,Jorge,27,M,Cartagena,queremos más presencia policial.,Educación,No urgente,0,0,0,2023,8
1548,Juan,48,F,Pereira,la contaminación del río está aumentando.,Seguridad,Urgente,0,1,1,2023,8
1549,Valentina,51,Otro,Medellín,faltan médicos en el centro de salud.,Salud,Urgente,1,0,0,2023,4
1550,Carlos,75,Otro,Santa Marta,faltan médicos en el centro de salud.,Salud,No urgente,0,1,1,2024,8
1551,Laura,75,M,Pereira,no tenemos centros culturales ni bibliotecas.,Salud,No urgente,0,1,1,2023,10
1552,Camilo,33,Otro,Santa Marta,faltan médicos en el centro de salud.,Seguridad,Urgente,1,0,1,2024,2
1553,Camilo,75,F,Bucaramanga,hay problemas con la recolección de basura.,Salud,No urgente,0,1,0,2024,6
1554,Pedro,72,F,Bogotá,la contaminación del río está aumentando.,Educación,No urgente,0,0,0,2023,4
1555,Jorge,19,F,Medellín,hay problemas con la recolección de basura.,Educación,No urgente,1,0,1,2024,4
1556,Jorge,42,F,Manizales,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,0,1,1,2023,5
1557,Laura,63,M,Pereira,necesitamos más acceso a internet en la zona.,Educación,Urgente,1,1,1,2023,7
1558,Sofía,30,F,Cúcuta,queremos más presencia policial.,Medio Ambiente,Urgente,1,1,0,2023,10
1559,Carlos,69,F,Cali,hay problemas con la recolección de basura.,Educación,No urgente,1,1,0,2024,9
1560,Pedro,56,Otro,Santa Marta,Sin Comentario,Educación,Urgente,1,1,0,2023,7
1561,Pedro,31,Otro,Bogotá,falta agua potable en varias casas.,Educación,No urgente,0,1,1,2023,4
1562,Laura,70,F,Bucaramanga,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,1,1,1,2024,10
1563,Carlos,52,M,Bogotá,las basuras no se recogen a tiempo.,Seguridad,No urgente,1,1,1,2024,6
1564,María,48,Otro,Manizales,falta agua potable en varias casas.,Salud,Urgente,1,1,1,2024,6
1565,María,40,Otro,Cali,queremos más presencia policial.,Salud,No urgente,1,1,1,2024,7
1566,Carlos,48,Otro,Pereira,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,1,0,0,2024,8
1567,Sofía,49,F,Cartagena,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,0,1,0,2024,7
1568,Juan,56,F,Bucaramanga,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,0,0,0,2023,10
1569,Jorge,55,F,Cali,hay problemas con la recolección de basura.,Educación,No urgente,0,0,1,2023,4
1570,María,48,F,Bucaramanga,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,1,1,1,2023,5
1571,Laura,31,M,Bucaramanga,hay problemas con la recolección de basura.,Salud,No urgente,0,1,0,2024,7
1572,Sofía,36,F,Bucaramanga,no hay suficientes escuelas públicas.,Salud,No urgente,0,1,0,2024,10
1573,Ana,79,F,Pereira,no tenemos centros culturales ni bibliotecas.,Educación,Urgente,0,0,1,2024,11
1574,Camilo,41,Otro,Cartagena,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,1,0,0,2024,6
1575,Camilo,29,Otro,Bucaramanga,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,1,0,1,2024,3
1576,Camilo,59,Otro,Cartagena,Sin Comentario,Medio Ambiente,No urgente,1,1,0,2023,11
1577,Jorge,64,M,Pereira,no hay suficientes escuelas públicas.,Salud,Urgente,1,0,1,2024,2
1578,María,60,M,Cartagena,falta agua potable en varias casas.,Educación,Urgente,0,0,1,2024,1
1579,Ana,39,F,Cali,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,0,1,1,2023,4
1580,Carlos,44,F,Cartagena,las basuras no se recogen a tiempo.,Salud,Urgente,1,0,0,2024,1
1581,Pedro,16,Otro,Barranquilla,las basuras no se recogen a tiempo.,Seguridad,No urgente,1,0,1,2024,5
1582,María,48,Otro,Medellín,las calles están muy oscuras y peligrosas.,Salud,Urgente,0,0,1,2023,9
1583,Valentina,75,Otro,Barranquilla,la contaminación del río está aumentando.,Seguridad,Urgente,0,0,1,2023,10
1584,María,74,Otro,Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,1,0,0,2023,9
1585,Jorge,47,Otro,Bucaramanga,la contaminación del río está aumentando.,Educación,No urgente,1,1,0,2023,1
1586,Camilo,23,M,Barranquilla,las basuras no se recogen a tiempo.,Seguridad,No urgente,0,0,1,2024,4
1587,María,45,Otro,Cúcuta,falta agua potable en varias casas.,Educación,Urgente,0,1,1,2023,4
1588,Pedro,22,F,Manizales,no hay suficientes escuelas públicas.,Salud,Urgente,1,1,0,2023,1
1589,Juan,80,Otro,Cúcuta,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,0,1,1,2023,10
1590,Pedro,29,Otro,Bogotá,hay problemas con la recolección de basura.,Seguridad,Urgente,1,0,0,2024,11
1591,Sofía,49,Otro,Barranquilla,Sin Comentario,Educación,No urgente,0,1,1,2024,2
1592,María,45,Otro,Bucaramanga,la contaminación del río está aumentando.,Salud,No urgente,1,0,0,2023,4
1593,María,28,F,Medellín,queremos más presencia policial.,Seguridad,Urgente,1,0,1,2024,10
1594,María,41,M,Bucaramanga,la contaminación del río está aumentando.,Educación,No urgente,1,1,1,2023,1
1595,Juan,47,M,Medellín,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,1,1,1,2023,7
1596,Laura,47,Otro,Manizales,faltan médicos en el centro de salud.,Salud,No urgente,1,1,1,2023,9
1597,Laura,80,F,Pereira,necesitamos más acceso a internet en la zona.,Educación,No urgente,0,0,0,2023,6
1598,Jorge,68,F,Manizales,queremos más presencia policial.,Salud,No urgente,0,1,1,2023,9
1599,Ana,57,Otro,Manizales,no hay suficientes escuelas públicas.,Seguridad,Urgente,0,0,0,2023,5
1600,Camilo,25,Otro,Santa Marta,queremos más presencia policial.,Educación,No urgente,1,1,1,2024,9
1601,Laura,60,Otro,Bogotá,Sin Comentario,Medio Ambiente,Urgente,1,0,1,2023,1
1602,Jorge,32,F,Cartagena,las basuras no se recogen a tiempo.,Salud,Urgente,0,1,0,2024,6
1603,Jorge,21,F,Cali,las calles están muy oscuras y peligrosas.,Educación,Urgente,0,1,1,2023,7
1604,Ana,77,M,Bucaramanga,las calles están muy oscuras y peligrosas.,Educación,Urgente,0,0,0,2023,7
1605,Juan,26,F,Bogotá,las calles están muy oscuras y peligrosas.,Educación,Urgente,1,1,1,2024,7
1606,Valentina,36,M,Medellín,la contaminación del río está aumentando.,Medio Ambiente,Urgente,0,1,1,2023,2
1607,Juan,29,Otro,Bucaramanga,la contaminación del río está aumentando.,Seguridad,No urgente,0,1,0,2023,7
1608,María,64,M,Bogotá,necesitamos más acceso a internet en la zona.,Salud,No urgente,1,0,0,2023,8
1609,Carlos,42,F,Manizales,hay problemas con la recolección de basura.,Salud,No urgente,0,0,0,2024,8
1610,María,69,M,Santa Marta,queremos más presencia policial.,Educación,Urgente,0,0,0,2024,2
1611,Ana,70,M,Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,1,0,0,2024,11
1612,Ana,21,M,Barranquilla,la contaminación del río está aumentando.,Educación,Urgente,0,1,1,2023,9
1613,Camilo,26,F,Manizales,necesitamos más acceso a internet en la zona.,Salud,Urgente,0,1,1,2023,11
1614,Jorge,34,Otro,Bogotá,las calles están muy oscuras y peligrosas.,Educación,Urgente,1,1,0,2023,3
1615,Laura,66,M,Cartagena,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,0,1,0,2023,3
1616,Laura,41,F,Manizales,las basuras no se recogen a tiempo.,Educación,No urgente,1,1,0,2023,8
1617,Laura,75,F,Bucaramanga,las calles están muy oscuras y peligrosas.,Salud,Urgente,0,1,1,2023,7
1618,Valentina,22,F,Cartagena,Sin Comentario,Salud,No urgente,0,0,0,2023,11
1619,Sofía,68,F,Santa Marta,faltan médicos en el centro de salud.,Salud,No urgente,0,1,0,2023,6
1620,Camilo,73,Otro,Cartagena,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,1,0,0,2024,2
1621,Ana,66,Otro,Cartagena,no hay suficientes escuelas públicas.,Seguridad,Urgente,0,0,0,2023,7
1622,Valentina,59,Otro,Medellín,falta agua potable en varias casas.,Seguridad,No urgente,1,1,0,2023,2
1623,María,68,Otro,Cartagena,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,1,1,0,2024,7
1624,María,70,F,Medellín,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,1,0,0,2023,1
1625,Carlos,51,F,Cúcuta,las calles están muy oscuras y peligrosas.,Salud,Urgente,0,0,0,2024,7
1626,Sofía,77,M,Pereira,falta agua potable en varias casas.,Salud,Urgente,0,1,1,2023,8
1627,Valentina,31,Otro,Cúcuta,las basuras no se recogen a tiempo.,Seguridad,Urgente,1,1,0,2023,12
1628,Pedro,48,M,Cali,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,0,0,0,2024,11
1629,Sofía,57,F,Cúcuta,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,1,0,0,2024,8
1630,Jorge,47,M,Medellín,las basuras no se recogen a tiempo.,Educación,No urgente,1,0,0,2023,8
1631,Ana,50,Otro,Barranquilla,las calles están muy oscuras y peligrosas.,Educación,No urgente,1,1,0,2023,7
1632,Jorge,71,F,Bogotá,hay problemas con la recolección de basura.,Salud,Urgente,1,1,1,2023,11
1633,Jorge,29,F,Medellín,falta agua potable en varias casas.,Medio Ambiente,No urgente,1,0,1,2023,10
1634,Carlos,22,M,Bogotá,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,1,0,0,2024,10
